"filename", "language", "Markdown", "GLSL", "XML", "HTML", "YAML", "C", "C++", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftconfig.h", "C++", 0, 0, 0, 0, 0, 0, -9, 0, 0, -34, -9, -52
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftheader.h", "C++", 0, 0, 0, 0, 0, 0, -95, 0, 0, -618, -124, -837
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftmodule.h", "C++", 0, 0, 0, 0, 0, 0, -19, 0, 0, -12, -3, -34
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftoption.h", "C++", 0, 0, 0, 0, 0, 0, -92, 0, 0, -783, -140, -1015
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\ftstdlib.h", "C++", 0, 0, 0, 0, 0, 0, -58, 0, 0, -79, -49, -186
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\integer-types.h", "C++", 0, 0, 0, 0, 0, 0, -87, 0, 0, -101, -63, -251
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\mac-support.h", "C++", 0, 0, 0, 0, 0, 0, -18, 0, 0, -27, -5, -50
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\config\public-macros.h", "C++", 0, 0, 0, 0, 0, 0, -48, 0, 0, -67, -24, -139
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\freetype.h", "C++", 0, 0, 0, 0, 0, 0, -498, 0, 0, -4490, -350, -5338
"c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\FreeTypeInclude\freetype\ftadvanc.h", "C++", 0, 0, 0, 0, 0, 0, -23, 0, 0, -144, -22, -189
