Date : 2024-05-28 11:58:46
Directory : c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Scripts
Total : 1517 files,  -231848 codes, -43934 comments, -28434 blanks, all -304216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| XML        |          1 |       -221 |          0 |          0 |       -221 |
| GLSL       |         18 |       -265 |          0 |        -83 |       -348 |
| YAML       |          3 |       -460 |         -1 |        -64 |       -525 |
| C          |          1 |     -2,447 |        -25 |        -47 |     -2,519 |
| Markdown   |          3 |     -2,671 |          0 |     -1,014 |     -3,685 |
| CSS        |          4 |     -2,701 |        -97 |       -529 |     -3,327 |
| JavaScript |         96 |     -5,238 |       -104 |       -176 |     -5,518 |
| C++        |        694 |    -73,984 |    -40,232 |    -19,634 |   -133,850 |
| HTML       |        697 |   -143,861 |     -3,475 |     -6,887 |   -154,223 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                  | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                     |      1,517 |   -231,848 |    -43,934 |    -28,434 |   -304,216 |
| ..                                                                                                                                    |      1,517 |   -231,848 |    -43,934 |    -28,434 |   -304,216 |
| .. (Files)                                                                                                                            |          3 |       -229 |          0 |         -2 |       -231 |
| ..\FreeTypeInclude                                                                                                                    |         55 |     -4,495 |    -20,375 |     -2,776 |    -27,646 |
| ..\FreeTypeInclude (Files)                                                                                                            |          1 |         -4 |        -30 |         -9 |        -43 |
| ..\FreeTypeInclude\freetype                                                                                                           |         54 |     -4,491 |    -20,345 |     -2,767 |    -27,603 |
| ..\FreeTypeInclude\freetype (Files)                                                                                                   |         46 |     -4,065 |    -18,624 |     -2,350 |    -25,039 |
| ..\FreeTypeInclude\freetype\config                                                                                                    |          8 |       -426 |     -1,721 |       -417 |     -2,564 |
| ..\Shaders                                                                                                                            |         18 |       -265 |          0 |        -83 |       -348 |
| ..\glad                                                                                                                               |          3 |     -7,659 |       -210 |        -94 |     -7,963 |
| ..\glad\include                                                                                                                       |          2 |     -5,212 |       -185 |        -47 |     -5,444 |
| ..\glad\include\KHR                                                                                                                   |          1 |       -117 |       -165 |        -30 |       -312 |
